cx,cy,cz,count,density,i,j,k
-0.273350,0.005730,-0.035320,3,2.40000000e+04,0,3,6
-0.273350,0.005730,0.014680,9,7.20000000e+04,0,3,7
-0.273350,0.055730,-0.085320,5,4.00000000e+04,0,4,5
-0.273350,0.055730,-0.035320,15,1.20000000e+05,0,4,6
-0.273350,0.055730,0.014680,18,1.44000000e+05,0,4,7
-0.273350,0.055730,0.064680,7,5.60000000e+04,0,4,8
-0.273350,0.055730,0.114680,1,8.00000000e+03,0,4,9
-0.273350,0.105730,0.014680,4,3.20000000e+04,0,5,7
-0.223350,0.005730,-0.035320,4,3.20000000e+04,1,3,6
-0.223350,0.005730,0.014680,6,4.80000000e+04,1,3,7
-0.223350,0.055730,-0.035320,12,9.60000000e+04,1,4,6
-0.223350,0.055730,0.014680,23,1.84000000e+05,1,4,7
-0.223350,0.055730,0.064680,6,4.80000000e+04,1,4,8
-0.223350,0.105730,0.014680,1,8.00000000e+03,1,5,7
-0.173350,0.005730,-0.035320,10,8.00000000e+04,2,3,6
-0.173350,0.005730,0.014680,6,4.80000000e+04,2,3,7
-0.173350,0.055730,-0.035320,7,5.60000000e+04,2,4,6
-0.173350,0.055730,0.014680,9,7.20000000e+04,2,4,7
-0.123350,0.005730,-0.035320,4,3.20000000e+04,3,3,6
-0.123350,0.005730,0.014680,11,8.80000000e+04,3,3,7
-0.123350,0.055730,-0.035320,9,7.20000000e+04,3,4,6
-0.123350,0.055730,0.014680,12,9.60000000e+04,3,4,7
-0.073350,0.005730,-0.035320,7,5.60000000e+04,4,3,6
-0.073350,0.005730,0.014680,12,9.60000000e+04,4,3,7
-0.073350,0.055730,-0.035320,7,5.60000000e+04,4,4,6
-0.073350,0.055730,0.014680,11,8.80000000e+04,4,4,7
-0.023350,-0.044270,-0.335320,1,8.00000000e+03,5,2,0
-0.023350,-0.044270,-0.285320,1,8.00000000e+03,5,2,1
-0.023350,-0.044270,-0.235320,1,8.00000000e+03,5,2,2
-0.023350,-0.044270,-0.135320,2,1.60000000e+04,5,2,4
-0.023350,-0.044270,-0.085320,1,8.00000000e+03,5,2,5
-0.023350,-0.044270,-0.035320,1,8.00000000e+03,5,2,6
-0.023350,-0.044270,0.064680,3,2.40000000e+04,5,2,8
-0.023350,-0.044270,0.114680,1,8.00000000e+03,5,2,9
-0.023350,-0.044270,0.164680,1,8.00000000e+03,5,2,10
-0.023350,-0.044270,0.214680,1,8.00000000e+03,5,2,11
-0.023350,-0.044270,0.264680,1,8.00000000e+03,5,2,12
-0.023350,-0.044270,0.314680,1,8.00000000e+03,5,2,13
-0.023350,0.005730,-0.335320,4,3.20000000e+04,5,3,0
-0.023350,0.005730,-0.285320,5,4.00000000e+04,5,3,1
-0.023350,0.005730,-0.235320,2,1.60000000e+04,5,3,2
-0.023350,0.005730,-0.185320,5,4.00000000e+04,5,3,3
-0.023350,0.005730,-0.135320,2,1.60000000e+04,5,3,4
-0.023350,0.005730,-0.085320,4,3.20000000e+04,5,3,5
-0.023350,0.005730,-0.035320,14,1.12000000e+05,5,3,6
-0.023350,0.005730,0.014680,15,1.20000000e+05,5,3,7
-0.023350,0.005730,0.064680,5,4.00000000e+04,5,3,8
-0.023350,0.005730,0.114680,2,1.60000000e+04,5,3,9
-0.023350,0.005730,0.164680,5,4.00000000e+04,5,3,10
-0.023350,0.005730,0.214680,4,3.20000000e+04,5,3,11
-0.023350,0.005730,0.264680,5,4.00000000e+04,5,3,12
-0.023350,0.005730,0.314680,3,2.40000000e+04,5,3,13
-0.023350,0.005730,0.364680,1,8.00000000e+03,5,3,14
-0.023350,0.055730,-0.035320,10,8.00000000e+04,5,4,6
-0.023350,0.055730,0.014680,14,1.12000000e+05,5,4,7
-0.023350,0.105730,0.014680,2,1.60000000e+04,5,5,7
0.026650,-0.144270,-0.085320,4,3.20000000e+04,6,0,5
0.026650,-0.144270,-0.035320,4,3.20000000e+04,6,0,6
0.026650,-0.144270,0.064680,4,3.20000000e+04,6,0,8
0.026650,-0.144270,0.114680,1,8.00000000e+03,6,0,9
0.026650,-0.094270,-0.085320,9,7.20000000e+04,6,1,5
0.026650,-0.094270,-0.035320,4,3.20000000e+04,6,1,6
0.026650,-0.094270,0.064680,3,2.40000000e+04,6,1,8
0.026650,-0.094270,0.114680,2,1.60000000e+04,6,1,9
0.026650,-0.044270,-0.335320,3,2.40000000e+04,6,2,0
0.026650,-0.044270,-0.285320,6,4.80000000e+04,6,2,1
0.026650,-0.044270,-0.235320,7,5.60000000e+04,6,2,2
0.026650,-0.044270,-0.185320,6,4.80000000e+04,6,2,3
0.026650,-0.044270,-0.135320,7,5.60000000e+04,6,2,4
0.026650,-0.044270,-0.085320,8,6.40000000e+04,6,2,5
0.026650,-0.044270,-0.035320,6,4.80000000e+04,6,2,6
0.026650,-0.044270,0.014680,8,6.40000000e+04,6,2,7
0.026650,-0.044270,0.064680,8,6.40000000e+04,6,2,8
0.026650,-0.044270,0.114680,5,4.00000000e+04,6,2,9
0.026650,-0.044270,0.164680,7,5.60000000e+04,6,2,10
0.026650,-0.044270,0.214680,6,4.80000000e+04,6,2,11
0.026650,-0.044270,0.264680,7,5.60000000e+04,6,2,12
0.026650,-0.044270,0.314680,9,7.20000000e+04,6,2,13
0.026650,-0.044270,0.364680,1,8.00000000e+03,6,2,14
0.026650,0.005730,-0.335320,7,5.60000000e+04,6,3,0
0.026650,0.005730,-0.285320,5,4.00000000e+04,6,3,1
0.026650,0.005730,-0.235320,4,3.20000000e+04,6,3,2
0.026650,0.005730,-0.185320,7,5.60000000e+04,6,3,3
0.026650,0.005730,-0.135320,7,5.60000000e+04,6,3,4
0.026650,0.005730,-0.085320,5,4.00000000e+04,6,3,5
0.026650,0.005730,-0.035320,19,1.52000000e+05,6,3,6
0.026650,0.005730,0.014680,21,1.68000000e+05,6,3,7
0.026650,0.005730,0.064680,13,1.04000000e+05,6,3,8
0.026650,0.005730,0.114680,5,4.00000000e+04,6,3,9
0.026650,0.005730,0.164680,7,5.60000000e+04,6,3,10
0.026650,0.005730,0.214680,8,6.40000000e+04,6,3,11
0.026650,0.005730,0.264680,7,5.60000000e+04,6,3,12
0.026650,0.005730,0.314680,8,6.40000000e+04,6,3,13
0.026650,0.005730,0.364680,5,4.00000000e+04,6,3,14
0.026650,0.055730,-0.035320,7,5.60000000e+04,6,4,6
0.026650,0.055730,0.014680,4,3.20000000e+04,6,4,7
0.026650,0.055730,0.064680,2,1.60000000e+04,6,4,8
0.026650,0.105730,-0.035320,4,3.20000000e+04,6,5,6
0.026650,0.105730,0.014680,4,3.20000000e+04,6,5,7
0.026650,0.155730,-0.335320,12,9.60000000e+04,6,6,0
0.026650,0.155730,-0.285320,11,8.80000000e+04,6,6,1
0.026650,0.155730,-0.235320,20,1.60000000e+05,6,6,2
0.026650,0.155730,-0.185320,15,1.20000000e+05,6,6,3
0.026650,0.155730,-0.135320,8,6.40000000e+04,6,6,4
0.026650,0.155730,-0.085320,10,8.00000000e+04,6,6,5
0.026650,0.155730,-0.035320,7,5.60000000e+04,6,6,6
0.026650,0.155730,0.014680,11,8.80000000e+04,6,6,7
0.026650,0.155730,0.064680,6,4.80000000e+04,6,6,8
0.026650,0.155730,0.114680,14,1.12000000e+05,6,6,9
0.026650,0.155730,0.164680,11,8.80000000e+04,6,6,10
0.026650,0.155730,0.214680,9,7.20000000e+04,6,6,11
0.026650,0.155730,0.264680,12,9.60000000e+04,6,6,12
0.026650,0.155730,0.314680,9,7.20000000e+04,6,6,13
0.026650,0.155730,0.364680,3,2.40000000e+04,6,6,14
0.076650,-0.144270,-0.085320,12,9.60000000e+04,7,0,5
0.076650,-0.144270,-0.035320,8,6.40000000e+04,7,0,6
0.076650,-0.144270,0.014680,5,4.00000000e+04,7,0,7
0.076650,-0.144270,0.064680,14,1.12000000e+05,7,0,8
0.076650,-0.144270,0.114680,9,7.20000000e+04,7,0,9
0.076650,-0.094270,-0.085320,17,1.36000000e+05,7,1,5
0.076650,-0.094270,-0.035320,9,7.20000000e+04,7,1,6
0.076650,-0.094270,0.014680,2,1.60000000e+04,7,1,7
0.076650,-0.094270,0.064680,19,1.52000000e+05,7,1,8
0.076650,-0.094270,0.114680,6,4.80000000e+04,7,1,9
0.076650,-0.044270,-0.335320,2,1.60000000e+04,7,2,0
0.076650,-0.044270,-0.285320,8,6.40000000e+04,7,2,1
0.076650,-0.044270,-0.235320,7,5.60000000e+04,7,2,2
0.076650,-0.044270,-0.185320,8,6.40000000e+04,7,2,3
0.076650,-0.044270,-0.135320,13,1.04000000e+05,7,2,4
0.076650,-0.044270,-0.085320,14,1.12000000e+05,7,2,5
0.076650,-0.044270,-0.035320,5,4.00000000e+04,7,2,6
0.076650,-0.044270,0.014680,5,4.00000000e+04,7,2,7
0.076650,-0.044270,0.064680,11,8.80000000e+04,7,2,8
0.076650,-0.044270,0.114680,7,5.60000000e+04,7,2,9
0.076650,-0.044270,0.164680,4,3.20000000e+04,7,2,10
0.076650,-0.044270,0.214680,5,4.00000000e+04,7,2,11
0.076650,-0.044270,0.264680,9,7.20000000e+04,7,2,12
0.076650,-0.044270,0.314680,4,3.20000000e+04,7,2,13
0.076650,-0.044270,0.364680,3,2.40000000e+04,7,2,14
0.076650,0.005730,-0.335320,10,8.00000000e+04,7,3,0
0.076650,0.005730,-0.285320,9,7.20000000e+04,7,3,1
0.076650,0.005730,-0.235320,12,9.60000000e+04,7,3,2
0.076650,0.005730,-0.185320,5,4.00000000e+04,7,3,3
0.076650,0.005730,-0.135320,6,4.80000000e+04,7,3,4
0.076650,0.005730,-0.085320,9,7.20000000e+04,7,3,5
0.076650,0.005730,-0.035320,21,1.68000000e+05,7,3,6
0.076650,0.005730,0.014680,14,1.12000000e+05,7,3,7
0.076650,0.005730,0.064680,15,1.20000000e+05,7,3,8
0.076650,0.005730,0.114680,6,4.80000000e+04,7,3,9
0.076650,0.005730,0.164680,11,8.80000000e+04,7,3,10
0.076650,0.005730,0.214680,7,5.60000000e+04,7,3,11
0.076650,0.005730,0.264680,9,7.20000000e+04,7,3,12
0.076650,0.005730,0.314680,8,6.40000000e+04,7,3,13
0.076650,0.005730,0.364680,2,1.60000000e+04,7,3,14
0.076650,0.055730,-0.235320,1,8.00000000e+03,7,4,2
0.076650,0.055730,-0.085320,1,8.00000000e+03,7,4,5
0.076650,0.055730,-0.035320,14,1.12000000e+05,7,4,6
0.076650,0.055730,0.014680,2,1.60000000e+04,7,4,7
0.076650,0.055730,0.064680,4,3.20000000e+04,7,4,8
0.076650,0.055730,0.264680,1,8.00000000e+03,7,4,12
0.076650,0.105730,-0.235320,2,1.60000000e+04,7,5,2
0.076650,0.105730,-0.085320,2,1.60000000e+04,7,5,5
0.076650,0.105730,-0.035320,5,4.00000000e+04,7,5,6
0.076650,0.105730,0.014680,6,4.80000000e+04,7,5,7
0.076650,0.105730,0.064680,2,1.60000000e+04,7,5,8
0.076650,0.105730,0.114680,1,8.00000000e+03,7,5,9
0.076650,0.105730,0.214680,2,1.60000000e+04,7,5,11
0.076650,0.155730,-0.335320,17,1.36000000e+05,7,6,0
0.076650,0.155730,-0.285320,15,1.20000000e+05,7,6,1
0.076650,0.155730,-0.235320,16,1.28000000e+05,7,6,2
0.076650,0.155730,-0.185320,24,1.92000000e+05,7,6,3
0.076650,0.155730,-0.135320,15,1.20000000e+05,7,6,4
0.076650,0.155730,-0.085320,16,1.28000000e+05,7,6,5
0.076650,0.155730,-0.035320,11,8.80000000e+04,7,6,6
0.076650,0.155730,0.014680,18,1.44000000e+05,7,6,7
0.076650,0.155730,0.064680,14,1.12000000e+05,7,6,8
0.076650,0.155730,0.114680,19,1.52000000e+05,7,6,9
0.076650,0.155730,0.164680,27,2.16000000e+05,7,6,10
0.076650,0.155730,0.214680,25,2.00000000e+05,7,6,11
0.076650,0.155730,0.264680,29,2.32000000e+05,7,6,12
0.076650,0.155730,0.314680,12,9.60000000e+04,7,6,13
0.076650,0.155730,0.364680,1,8.00000000e+03,7,6,14
0.126650,-0.144270,-0.085320,4,3.20000000e+04,8,0,5
0.126650,-0.144270,0.064680,4,3.20000000e+04,8,0,8
0.126650,-0.094270,-0.085320,6,4.80000000e+04,8,1,5
0.126650,-0.094270,0.064680,11,8.80000000e+04,8,1,8
0.126650,-0.044270,-0.335320,7,5.60000000e+04,8,2,0
0.126650,-0.044270,-0.285320,7,5.60000000e+04,8,2,1
0.126650,-0.044270,-0.235320,4,3.20000000e+04,8,2,2
0.126650,-0.044270,-0.185320,5,4.00000000e+04,8,2,3
0.126650,-0.044270,-0.135320,13,1.04000000e+05,8,2,4
0.126650,-0.044270,-0.085320,8,6.40000000e+04,8,2,5
0.126650,-0.044270,-0.035320,6,4.80000000e+04,8,2,6
0.126650,-0.044270,0.014680,15,1.20000000e+05,8,2,7
0.126650,-0.044270,0.064680,10,8.00000000e+04,8,2,8
0.126650,-0.044270,0.114680,5,4.00000000e+04,8,2,9
0.126650,-0.044270,0.164680,8,6.40000000e+04,8,2,10
0.126650,-0.044270,0.214680,8,6.40000000e+04,8,2,11
0.126650,-0.044270,0.264680,12,9.60000000e+04,8,2,12
0.126650,-0.044270,0.314680,7,5.60000000e+04,8,2,13
0.126650,-0.044270,0.364680,1,8.00000000e+03,8,2,14
0.126650,0.005730,-0.335320,8,6.40000000e+04,8,3,0
0.126650,0.005730,-0.285320,3,2.40000000e+04,8,3,1
0.126650,0.005730,-0.235320,2,1.60000000e+04,8,3,2
0.126650,0.005730,-0.185320,7,5.60000000e+04,8,3,3
0.126650,0.005730,-0.135320,7,5.60000000e+04,8,3,4
0.126650,0.005730,-0.085320,9,7.20000000e+04,8,3,5
0.126650,0.005730,-0.035320,16,1.28000000e+05,8,3,6
0.126650,0.005730,0.014680,11,8.80000000e+04,8,3,7
0.126650,0.005730,0.064680,15,1.20000000e+05,8,3,8
0.126650,0.005730,0.114680,7,5.60000000e+04,8,3,9
0.126650,0.005730,0.164680,9,7.20000000e+04,8,3,10
0.126650,0.005730,0.214680,5,4.00000000e+04,8,3,11
0.126650,0.005730,0.264680,6,4.80000000e+04,8,3,12
0.126650,0.005730,0.314680,10,8.00000000e+04,8,3,13
0.126650,0.005730,0.364680,2,1.60000000e+04,8,3,14
0.126650,0.055730,-0.235320,2,1.60000000e+04,8,4,2
0.126650,0.055730,-0.085320,4,3.20000000e+04,8,4,5
0.126650,0.055730,-0.035320,3,2.40000000e+04,8,4,6
0.126650,0.055730,0.014680,1,8.00000000e+03,8,4,7
0.126650,0.055730,0.064680,5,4.00000000e+04,8,4,8
0.126650,0.105730,-0.235320,1,8.00000000e+03,8,5,2
0.126650,0.105730,-0.035320,5,4.00000000e+04,8,5,6
0.126650,0.105730,0.014680,6,4.80000000e+04,8,5,7
0.126650,0.105730,0.064680,2,1.60000000e+04,8,5,8
0.126650,0.105730,0.114680,1,8.00000000e+03,8,5,9
0.126650,0.155730,-0.335320,18,1.44000000e+05,8,6,0
0.126650,0.155730,-0.285320,23,1.84000000e+05,8,6,1
0.126650,0.155730,-0.235320,28,2.24000000e+05,8,6,2
0.126650,0.155730,-0.185320,25,2.00000000e+05,8,6,3
0.126650,0.155730,-0.135320,14,1.12000000e+05,8,6,4
0.126650,0.155730,-0.085320,13,1.04000000e+05,8,6,5
0.126650,0.155730,-0.035320,15,1.20000000e+05,8,6,6
0.126650,0.155730,0.014680,11,8.80000000e+04,8,6,7
0.126650,0.155730,0.064680,15,1.20000000e+05,8,6,8
0.126650,0.155730,0.114680,18,1.44000000e+05,8,6,9
0.126650,0.155730,0.164680,13,1.04000000e+05,8,6,10
0.126650,0.155730,0.214680,28,2.24000000e+05,8,6,11
0.126650,0.155730,0.264680,12,9.60000000e+04,8,6,12
0.126650,0.155730,0.314680,19,1.52000000e+05,8,6,13
0.126650,0.155730,0.364680,2,1.60000000e+04,8,6,14
0.176650,-0.044270,-0.335320,2,1.60000000e+04,9,2,0
0.176650,-0.044270,-0.285320,5,4.00000000e+04,9,2,1
0.176650,-0.044270,-0.235320,4,3.20000000e+04,9,2,2
0.176650,-0.044270,-0.185320,7,5.60000000e+04,9,2,3
0.176650,-0.044270,-0.135320,11,8.80000000e+04,9,2,4
0.176650,-0.044270,-0.085320,4,3.20000000e+04,9,2,5
0.176650,-0.044270,-0.035320,10,8.00000000e+04,9,2,6
0.176650,-0.044270,0.014680,13,1.04000000e+05,9,2,7
0.176650,-0.044270,0.064680,8,6.40000000e+04,9,2,8
0.176650,-0.044270,0.114680,7,5.60000000e+04,9,2,9
0.176650,-0.044270,0.164680,9,7.20000000e+04,9,2,10
0.176650,-0.044270,0.214680,5,4.00000000e+04,9,2,11
0.176650,-0.044270,0.264680,5,4.00000000e+04,9,2,12
0.176650,-0.044270,0.314680,5,4.00000000e+04,9,2,13
0.176650,0.005730,-0.335320,3,2.40000000e+04,9,3,0
0.176650,0.005730,-0.285320,8,6.40000000e+04,9,3,1
0.176650,0.005730,-0.235320,11,8.80000000e+04,9,3,2
0.176650,0.005730,-0.185320,9,7.20000000e+04,9,3,3
0.176650,0.005730,-0.135320,9,7.20000000e+04,9,3,4
0.176650,0.005730,-0.085320,23,1.84000000e+05,9,3,5
0.176650,0.005730,-0.035320,15,1.20000000e+05,9,3,6
0.176650,0.005730,0.014680,12,9.60000000e+04,9,3,7
0.176650,0.005730,0.064680,13,1.04000000e+05,9,3,8
0.176650,0.005730,0.114680,9,7.20000000e+04,9,3,9
0.176650,0.005730,0.164680,12,9.60000000e+04,9,3,10
0.176650,0.005730,0.214680,10,8.00000000e+04,9,3,11
0.176650,0.005730,0.264680,12,9.60000000e+04,9,3,12
0.176650,0.005730,0.314680,4,3.20000000e+04,9,3,13
0.176650,0.055730,-0.085320,5,4.00000000e+04,9,4,5
0.176650,0.055730,-0.035320,2,1.60000000e+04,9,4,6
0.176650,0.055730,0.014680,1,8.00000000e+03,9,4,7
0.176650,0.055730,0.064680,7,5.60000000e+04,9,4,8
0.176650,0.055730,0.264680,2,1.60000000e+04,9,4,12
0.176650,0.105730,-0.235320,1,8.00000000e+03,9,5,2
0.176650,0.105730,-0.085320,1,8.00000000e+03,9,5,5
0.176650,0.105730,-0.035320,3,2.40000000e+04,9,5,6
0.176650,0.105730,0.014680,11,8.80000000e+04,9,5,7
0.176650,0.105730,0.264680,2,1.60000000e+04,9,5,12
0.176650,0.155730,-0.335320,14,1.12000000e+05,9,6,0
0.176650,0.155730,-0.285320,22,1.76000000e+05,9,6,1
0.176650,0.155730,-0.235320,15,1.20000000e+05,9,6,2
0.176650,0.155730,-0.185320,20,1.60000000e+05,9,6,3
0.176650,0.155730,-0.135320,11,8.80000000e+04,9,6,4
0.176650,0.155730,-0.085320,22,1.76000000e+05,9,6,5
0.176650,0.155730,-0.035320,20,1.60000000e+05,9,6,6
0.176650,0.155730,0.014680,16,1.28000000e+05,9,6,7
0.176650,0.155730,0.064680,14,1.12000000e+05,9,6,8
0.176650,0.155730,0.114680,20,1.60000000e+05,9,6,9
0.176650,0.155730,0.164680,18,1.44000000e+05,9,6,10
0.176650,0.155730,0.214680,25,2.00000000e+05,9,6,11
0.176650,0.155730,0.264680,26,2.08000000e+05,9,6,12
0.176650,0.155730,0.314680,11,8.80000000e+04,9,6,13
0.226650,-0.044270,-0.035320,5,4.00000000e+04,10,2,6
0.226650,-0.044270,0.014680,4,3.20000000e+04,10,2,7
0.226650,0.005730,-0.085320,4,3.20000000e+04,10,3,5
0.226650,0.005730,-0.035320,2,1.60000000e+04,10,3,6
0.226650,0.005730,0.014680,2,1.60000000e+04,10,3,7
0.226650,0.005730,0.064680,11,8.80000000e+04,10,3,8
0.226650,0.055730,-0.085320,10,8.00000000e+04,10,4,5
0.226650,0.055730,0.064680,10,8.00000000e+04,10,4,8
0.226650,0.105730,-0.035320,6,4.80000000e+04,10,5,6
0.226650,0.105730,0.014680,9,7.20000000e+04,10,5,7
0.226650,0.105730,0.064680,2,1.60000000e+04,10,5,8
0.226650,0.155730,-0.335320,5,4.00000000e+04,10,6,0
0.226650,0.155730,-0.285320,8,6.40000000e+04,10,6,1
0.226650,0.155730,-0.235320,10,8.00000000e+04,10,6,2
0.226650,0.155730,-0.185320,7,5.60000000e+04,10,6,3
0.226650,0.155730,-0.135320,10,8.00000000e+04,10,6,4
0.226650,0.155730,-0.085320,6,4.80000000e+04,10,6,5
0.226650,0.155730,-0.035320,12,9.60000000e+04,10,6,6
0.226650,0.155730,0.014680,7,5.60000000e+04,10,6,7
0.226650,0.155730,0.064680,7,5.60000000e+04,10,6,8
0.226650,0.155730,0.114680,9,7.20000000e+04,10,6,9
0.226650,0.155730,0.164680,8,6.40000000e+04,10,6,10
0.226650,0.155730,0.214680,12,9.60000000e+04,10,6,11
0.226650,0.155730,0.264680,11,8.80000000e+04,10,6,12
0.226650,0.155730,0.314680,8,6.40000000e+04,10,6,13
0.276650,-0.044270,-0.035320,4,3.20000000e+04,11,2,6
0.276650,-0.044270,0.014680,8,6.40000000e+04,11,2,7
0.276650,0.005730,-0.085320,8,6.40000000e+04,11,3,5
0.276650,0.005730,-0.035320,13,1.04000000e+05,11,3,6
0.276650,0.005730,0.014680,17,1.36000000e+05,11,3,7
0.276650,0.005730,0.064680,7,5.60000000e+04,11,3,8
0.276650,0.055730,-0.085320,9,7.20000000e+04,11,4,5
0.276650,0.055730,-0.035320,15,1.20000000e+05,11,4,6
0.276650,0.055730,0.014680,14,1.12000000e+05,11,4,7
0.276650,0.055730,0.064680,13,1.04000000e+05,11,4,8
0.276650,0.105730,-0.035320,11,8.80000000e+04,11,5,6
0.276650,0.105730,0.014680,13,1.04000000e+05,11,5,7
0.326650,0.055730,-0.035320,2,1.60000000e+04,12,4,6
0.326650,0.055730,0.014680,1,8.00000000e+03,12,4,7
